Front,Back,Plus
leicht,light,"{""effortless"", ""without effort"", ""light"", ""lightweight"", ""soft"", ""easy"", ""cushy"", ""flimsy"", ""lenient"", ""not strict"", ""not difficult"", ""simple"", ""elementary"", ""lightly"", ""readily"", ""gently"", ""softly"", ""slightly"", ""a bit"", ""somewhat"", ""easily"", ""without dif"
emma,emma,"Missing[""NotAvailable""]"
draußen,outside,"{""outdoor"", ""outside"", ""outdoors"", ""out of doors"", ""in open air"", ""alfresco""}"
sache,Thing,"Missing[""NotAvailable""]"
wagen,dare,"{""venture"", ""dare""}"
bloß,just,"{""simply"", ""only"", ""just"", ""merely""}"
bleiben,stay,"{""stay"", ""keep on"", ""continue to"", ""remain"", ""be left over"", ""be left"", ""abide""}"
griff,Handle,"Missing[""NotAvailable""]"
herz,heart,"Missing[""NotAvailable""]"
ziemlich,quite,"{""fairly"", ""pretty"", ""quite"", ""rather"", ""somewhat"", ""tolerably"", ""reasonably""}"
manchmal,sometimes,"{""sometimes"", ""now and then""}"
außerdem,in addition,"{""moreover"", ""in addition"", ""besides"", ""furthermore""}"
sollten,should,"Missing[""NotAvailable""]"
denken,think,"{""think"", ""reason""}"
teil,part,"Missing[""NotAvailable""]"
völlig,completely,"{""utter"", ""stark"", ""unadulterated"", ""complete"", ""unmitigated"", ""sheer"", ""plain"", ""outright"", ""blatant"", ""downright"", ""pure"", ""absolute"", ""total"", ""general"", ""thorough"", ""crashing"", ""entire"", ""whole"", ""integral"", ""altogether"", ""wholly"", ""completely"", ""thor"
unten,below,"{""below"", ""beneath"", ""under"", ""underneath"", ""down"", ""at the bottom"", ""downstairs"", ""on the first floor""}"
dessen,whose,"{""whose"", ""of which""}"
getan,done,"Missing[""NotAvailable""]"
uhr,Clock,"Missing[""NotAvailable""]"
jedoch,however,"{""nevertheless"", ""nonetheless"", ""in spite of this"", ""in spite of that"", ""however"", ""though"", ""yet"", ""despite"", ""notwithstanding"", ""in spite of"", ""regardless of"", ""albeit"", ""except that"", ""but"", ""only""}"
raum,room,"Missing[""NotAvailable""]"
john,John,"Missing[""NotAvailable""]"
anders,different,"{""different"", ""extraordinary"", ""dissimilar"", ""diverse"", ""else"", ""otherwise"", ""in another way"", ""differently"", ""or else"", ""if not""}"
hernando,hernando,"Missing[""NotAvailable""]"
tod,death,"Missing[""NotAvailable""]"
schwer,heavy,"{""trying"", ""thick"", ""heavy"", ""pronounced"", ""severe"", ""turbid"", ""dense"", ""arduous"", ""tough"", ""strenuous"", ""burdensome"", ""difficult"", ""hard"", ""laborious"", ""uphill"", ""problematic"", ""problematical"", ""troublesome"", ""nasty"", ""serious"", ""stodgy"", ""ponderous"", ""u"
eigenen,own,"Missing[""NotAvailable""]"
erklärte,explained,"Missing[""NotAvailable""]"
je,ever,"{""apiece"", ""each"", ""for each one""}"
reden,talk,"{""talk"", ""speak"", ""converse"", ""have a conversation""}"
schlug,beat,"Missing[""NotAvailable""]"
essen,eat,"{""eat"", ""feed""}"
stelle,location,"Missing[""NotAvailable""]"
sieht,looks,"Missing[""NotAvailable""]"
starrte,staring,"Missing[""NotAvailable""]"
bruder,brothers,"Missing[""NotAvailable""]"
himmel,sky,"Missing[""NotAvailable""]"
bekommen,to get,"{""get"", ""elicit"", ""draw out"", ""obtain"", ""acquire"", ""come by"", ""gain""}"
geschichte,history,"Missing[""NotAvailable""]"
heraus,out,"{""out""}"
frank,frank,"Missing[""NotAvailable""]"
fünf,five,"{""five""}"
allen,all,"Missing[""NotAvailable""]"
familie,family,"Missing[""NotAvailable""]"
sprechen,speak,"{""speak"", ""make a speech"", ""talk"", ""converse"", ""have a conversation""}"
schön,beautiful,"{""nice"", ""clean"", ""neat"", ""fine"", ""fair"", ""beautiful"", ""enjoyable"", ""delightful"", ""lovely"", ""pleasant"", ""pleasurable"", ""handsome"", ""attractive"", ""nicely"", ""neatly"", ""prettily""}"
alte,old,"Missing[""NotAvailable""]"
allerdings,Indeed,"{""it's true"", ""indeed""}"
oft,often,"{""often"", ""frequently""}"
dinge,things,"Missing[""NotAvailable""]"
drückte,expressed,"Missing[""NotAvailable""]"
richtung,direction,"Missing[""NotAvailable""]"
wand,wall,"Missing[""NotAvailable""]"
eben,just,"{""even"", ""level"", ""flat"", ""smooth""}"
trotzdem,Nevertheless,"{""nevertheless"", ""nonetheless"", ""in spite of this"", ""in spite of that"", ""however"", ""though"", ""yet"", ""despite"", ""notwithstanding"", ""in spite of"", ""regardless of"", ""albeit""}"
einzige,only one,"Missing[""NotAvailable""]"
vorbei,past,"{""over"", ""past"", ""farther than""}"
okay,OK,"Missing[""NotAvailable""]"
danach,after that,"{""after"", ""afterwards"", ""afterward"", ""later"", ""subsequently"", ""next"", ""thereafter"", ""hereafter"", ""after this""}"
bestimmt,certainly,"{""definite"", ""clear-cut"", ""precise"", ""well-defined"", ""explicit"", ""clear"", ""clean-cut"", ""certain"", ""particular"", ""concrete"", ""positive"", ""sure"", ""bound"", ""destined for"", ""intended for"", ""destined"", ""fated"", ""predetermined"", ""predestined"", ""doomed"", ""indeed"
direkt,directly,"{""firsthand"", ""direct"", ""immediate"", ""straight"", ""immediately"", ""instantly"", ""at once"", ""point-blank"", ""without wasting words"", ""directly"", ""right away"", ""straightaway"", ""forthwith"", ""straight away""}"
leid,suffering,"Missing[""NotAvailable""]"
stunden,hours,"Missing[""NotAvailable""]"
zehn,ten,"{""ten""}"
stirn,forehead,"Missing[""NotAvailable""]"
danke,Thank you,"Missing[""NotAvailable""]"
sollen,should,"{""should"", ""will"", ""'ll"", ""ought to"", ""shall""}"
platz,place,"Missing[""NotAvailable""]"
haut,skin,"Missing[""NotAvailable""]"
brachte,brought,"Missing[""NotAvailable""]"
jede,each,"{""each""}"
letzte,latest,"{""last"", ""past"", ""previous"", ""former""}"
oh,Oh,"{""oh""}"
möglich,possible,"{""possible"", ""conceivable"", ""thinkable"", ""imaginable"", ""supposable"", ""picturable""}"
lieber,Dear,"{""before"", ""rather than"", ""rather"", ""preferably""}"
gern,gladly,"{""gladly"", ""with pleasure"", ""willingly""}"
laut,according to,"{""loud"", ""rowdy"", ""noisy"", ""vociferous"", ""aloud"", ""according to"", ""as appears from"", ""as is evident from""}"
anderes,other,"{""other""}"
neue,new,"Missing[""NotAvailable""]"
möchte,would like to,"Missing[""NotAvailable""]"
schwester,sister,"Missing[""NotAvailable""]"
sprach,spoke,"Missing[""NotAvailable""]"
bald,soon,"{""soon"", ""shortly"", ""pronto""}"
antwort,answer,"Missing[""NotAvailable""]"
verlassen,leave,"{""abandon"", ""abandoned"", ""count on"", ""depend on"", ""depend upon"", ""desert"", ""deserted"", ""desolate"", ""forsake"", ""given up"", ""give up"", ""leave"", ""leave behind"", ""left behind"", ""lonely"", ""rely on"", ""uninhabited"", ""unvisited"", ""vacate""}"
heißt,called,"Missing[""NotAvailable""]"
gegeben,given,"{""given""}"
hals,neck,"Missing[""NotAvailable""]"
steht,stands,"Missing[""NotAvailable""]"
gehabt,had,"Missing[""NotAvailable""]"
stück,piece,"Missing[""NotAvailable""]"
schultern,shoulder,"Missing[""NotAvailable""]"
schritt,step,"Missing[""NotAvailable""]"
feuer,Fire,"Missing[""NotAvailable""]"
führte,led,"Missing[""NotAvailable""]"
gute,quality,"Missing[""NotAvailable""]"
erzählt,tells,"Missing[""NotAvailable""]"
tot,dead,"{""dead"", ""deceased"", ""defunct"", ""departed""}"
voller,full of,"Missing[""NotAvailable""]"
vergessen,to forget,"{""forgotten"", ""forget"", ""loose the knack""}"
meinte,said,"Missing[""NotAvailable""]"
ehe,marriage,"{""before"", ""prior to"", ""previous to""}"
freund,friend,"Missing[""NotAvailable""]"
sohn,son,"Missing[""NotAvailable""]"
passiert,happens,"Missing[""NotAvailable""]"
stieß,pushed,"Missing[""NotAvailable""]"
offenbar,apparently,"{""evident"", ""apparent"", ""clear"", ""obvious"", ""plain"", ""unmistakable"", ""apparently"", ""obviously""}"
kamen,came,"Missing[""NotAvailable""]"
kannte,knew,"Missing[""NotAvailable""]"
schulter,shoulder,"Missing[""NotAvailable""]"
schob,pushed,"Missing[""NotAvailable""]"
tage,days,"Missing[""NotAvailable""]"
mike,mike,"Missing[""NotAvailable""]"
händen,hands,"Missing[""NotAvailable""]"
standen,stood,"Missing[""NotAvailable""]"
lachte,laughing,"Missing[""NotAvailable""]"
klang,sound,"Missing[""NotAvailable""]"
dies,this,"{""this""}"
ort,place,"Missing[""NotAvailable""]"
herr,Sir,"Missing[""NotAvailable""]"
auto,automobile,"Missing[""NotAvailable""]"
weise,wise,"{""sage"", ""sound"", ""wise"", ""showing good sense"", ""showing good judgment"", ""profound""}"
ach,Oh,"{""oh"", ""alas"", ""oh well""}"
zeigte,showed,"Missing[""NotAvailable""]"
jedes,each,"{""each""}"
ebenfalls,Likewise,"{""likewise"", ""also"", ""so"", ""too"", ""as well"", ""in addition"", ""ditto"", ""as before""}"
weniger,fewer,"{""fewer"", ""less""}"
neuen,new,"Missing[""NotAvailable""]"
verdammt,damned,"{""damned"", ""blasted"", ""god-awful"", ""accursed"", ""cursed"", ""doomed"", ""bedeviled"", ""bedevilled"", ""hexed"", ""voodooed"", ""star-crossed"", ""damn it""}"
wartete,was waiting,"Missing[""NotAvailable""]"
tochter,daughter,"Missing[""NotAvailable""]"
philip,philip,"Missing[""NotAvailable""]"
meisten,most,"Missing[""NotAvailable""]"
helfen,help,"{""help"", ""assist"", ""aid""}"
unser,our,"{""our""}"
keiner,none,"Missing[""NotAvailable""]"
wann,when,"{""when""}"
brust,chest,"Missing[""NotAvailable""]"
erkennen,recognize,"{""learn"", ""realize"", ""spot"", ""recognize"", ""discern"", ""perceive"", ""detect"", ""notice"", ""appreciate"", ""value"", ""understand""}"
brauchte,needed,"Missing[""NotAvailable""]"
glück,luck,"Missing[""NotAvailable""]"
jedenfalls,in any case,"{""anyway"", ""anyhow"", ""in any case"", ""at least"", ""at any rate"", ""no matter how""}"
lief,ran,"Missing[""NotAvailable""]"
weile,while,"Missing[""NotAvailable""]"
warten,waiting,"{""wait"", ""hang around"", ""service"", ""maintain"", ""keep up"", ""hold""}"
außer,except,"{""except"", ""besides"", ""beside"", ""apart from"", ""in addition to"", ""as well as"", ""barring"", ""excepting"", ""except for"", ""but"", ""if not"", ""saving"", ""save"", ""not including"", ""leaving out"", ""other than"", ""aside from"", ""except that"", ""only""}"
früher,earlier,"{""prior"", ""former"", ""anterior"", ""earlier"", ""previous"", ""departed"", ""past"", ""formerly"", ""in the past"", ""in former days"", ""before"", ""at that time"", ""at the time"", ""in those days"", ""way back then""}"
besonders,especially,"{""notably"", ""particularly"", ""especially"", ""singularly"", ""remarkably"", ""extremely"", ""specifically"", ""mainly"", ""specially""}"
genauso,just like that,"{""just as"", ""quite as"", ""every bit as"", ""also"", ""too"", ""as well"", ""in addition"", ""ditto"", ""as before""}"
zuckte,twitched,"Missing[""NotAvailable""]"
daniel,Daniel,"Missing[""NotAvailable""]"
hinaus,out,"{""out""}"
darin,therein,"{""in that"", ""therein""}"
schwarzen,black,"Missing[""NotAvailable""]"
betrachtete,looked at,"Missing[""NotAvailable""]"
stunde,hour,"Missing[""NotAvailable""]"
eher,rather,"{""rather"", ""preferably""}"
wirst,will,"Missing[""NotAvailable""]"
bild,picture,"Missing[""NotAvailable""]"
sorgen,to care,"{""fret""}"
gegangen,went,"Missing[""NotAvailable""]"
meter,meter,"Missing[""NotAvailable""]"
falls,if,"{""in case"", ""in the event that""}"
sir,sir,"Missing[""NotAvailable""]"
küche,kitchen,"Missing[""NotAvailable""]"
verloren,lost,"{""lost""}"
stellen,put,"{""put in"", ""submit"", ""arrange"", ""classify"", ""organize"", ""systematize"", ""order"", ""sort"", ""pose"", ""put forward"", ""lay"", ""lay down"", ""put"", ""place""}"
beinahe,nearly,"{""approximate"", ""estimated"", ""virtually"", ""almost"", ""nearly"", ""all but"", ""not quite""}"
irgendwie,somehow,"{""somehow"", ""anyhow"", ""in any case"", ""no matter how"", ""anyway"", ""at any rate""}"
wahr,true,"Missing[""NotAvailable""]"
wirkte,worked,"Missing[""NotAvailable""]"
tom,tom,"Missing[""NotAvailable""]"
zuvor,before,"{""before"", ""previously"", ""prior to"", ""previous to""}"
flüsterte,whispered,"Missing[""NotAvailable""]"
tränen,tears,"{""water""}"
nähe,neighborhood,"Missing[""NotAvailable""]"
fertig,finished,"{""ready"", ""set"", ""all set"", ""complete"", ""finished"", ""ended"", ""through"", ""done"", ""terminated""}"
wollten,wanted to,"Missing[""NotAvailable""]"
musst,must,"Missing[""NotAvailable""]"
inzwischen,meanwhile,"{""meanwhile"", ""in the meantime"", ""between times"", ""in between"", ""since"", ""since then""}"
jahr,year,"Missing[""NotAvailable""]"
gedacht,thought,"Missing[""NotAvailable""]"
groß,large,"{""great"", ""large"", ""big"", ""huge"", ""bulky"", ""gross"", ""tall""}"
näher,closer,"{""further"", ""more specific"", ""more detailed"", ""closely"", ""nearly"", ""closer"", ""nearer""}"
welche,Which,"{""which"", ""what"", ""whichever""}"
erneut,again,"Missing[""NotAvailable""]"
entfernt,away,"{""far-off"", ""distant"", ""faraway"", ""far off"", ""far"", ""afar"", ""away""}"
ruhig,calm,"{""windless"", ""calm"", ""still"", ""quiet"", ""placid"", ""tranquil"", ""serene"", ""sober-minded"", ""silent"", ""smooth"", ""peaceful"", ""peaceable"", ""unruffled"", ""easy"", ""quietly"", ""silently"", ""noiselessly""}"
hilfe,Help,"Missing[""NotAvailable""]"
weitere,Further,"Missing[""NotAvailable""]"
komm,come over,"Missing[""NotAvailable""]"
verstehen,understand,"{""get"", ""understand"", ""apprehend"", ""grasp"", ""comprehend"", ""perceive"", ""figure out"", ""appreciate"", ""catch on""}"
lass,let,"Missing[""NotAvailable""]"
menge,amount,"Missing[""NotAvailable""]"
ebenso,as well,"{""also"", ""too"", ""as well"", ""in addition"", ""ditto"", ""as before""}"
versucht,tries,"Missing[""NotAvailable""]"
nase,nose,"Missing[""NotAvailable""]"
deren,their,"{""whose"", ""of which"", ""of whom""}"
glas,Glass,"Missing[""NotAvailable""]"
stieg,rose,"Missing[""NotAvailable""]"
wohnung,flat,"Missing[""NotAvailable""]"
verstand,mind,"Missing[""NotAvailable""]"
niemals,No way,"{""never""}"
habt,have,"Missing[""NotAvailable""]"
bemerkte,noticed,"Missing[""NotAvailable""]"
sobald,as soon as,"Missing[""NotAvailable""]"
könig,king,"Missing[""NotAvailable""]"
solche,such,"{""such""}"
könnten,could,"Missing[""NotAvailable""]"
beine,legs,"Missing[""NotAvailable""]"
vermutlich,presumably,"{""reputed"", ""suppositional"", ""presumptive"", ""presumably"", ""supposedly""}"
gebracht,brought,"Missing[""NotAvailable""]"
genommen,took,"Missing[""NotAvailable""]"
vielen,a lot of,"Missing[""NotAvailable""]"
holte,took,"Missing[""NotAvailable""]"
kapitel,chapter,"Missing[""NotAvailable""]"
carl,carl,"Missing[""NotAvailable""]"
langen,long,"Missing[""NotAvailable""]"
eltern,parents,"Missing[""NotAvailable""]"
trotz,in spite of,"{""despite"", ""notwithstanding"", ""in spite of"", ""regardless of"", ""albeit""}"
rahil,rahil,"Missing[""NotAvailable""]"
hervor,out,"Missing[""NotAvailable""]"
wahrheit,truth,"Missing[""NotAvailable""]"
sag,say,"Missing[""NotAvailable""]"
unserer,our,"{""ours""}"
problem,problem,"Missing[""NotAvailable""]"
erinnerte,recalled,"Missing[""NotAvailable""]"
halb,half,"{""half"", ""only half a""}"
commissario,commissario,"Missing[""NotAvailable""]"
mensch,man,"Missing[""NotAvailable""]"
aller,all,"Missing[""NotAvailable""]"
diesmal,this time,"Missing[""NotAvailable""]"
aufs,onto,"Missing[""NotAvailable""]"
lachen,laugh,"{""laugh""}"
folgte,followed,"Missing[""NotAvailable""]"
erde,earth,"Missing[""NotAvailable""]"
land,country,"Missing[""NotAvailable""]"
treppe,stairway,"Missing[""NotAvailable""]"
ordnung,order,"Missing[""NotAvailable""]"
weder,neither,"Missing[""NotAvailable""]"
lässt,leaves,"Missing[""NotAvailable""]"
atem,breath,"Missing[""NotAvailable""]"
jake,jake,"Missing[""NotAvailable""]"
wenigstens,at least,"{""at least"", ""at any rate"", ""anyhow"", ""anyway"", ""plus"", ""and above"", ""a minimum of""}"
liegt,lies,"Missing[""NotAvailable""]"
jedem,each,"Missing[""NotAvailable""]"
murmelte,murmured,"Missing[""NotAvailable""]"
gegenüber,across from,"{""in relation to"", ""towards"", ""with regard to"", ""opposite"", ""facing""}"
bereit,ready,"{""ready"", ""disposed"", ""willing"", ""inclined"", ""ripe""}"
fallen,fall,"{""fall"", ""slump"", ""go down"", ""drop"", ""sink"", ""fall away"", ""recede""}"
polizei,police,"Missing[""NotAvailable""]"
irgendwo,somewhere,"{""somewhere"", ""someplace"", ""anyplace"", ""anywhere"", ""wherever""}"
reichte,enough,"Missing[""NotAvailable""]"
ahnung,idea,"Missing[""NotAvailable""]"
gingen,went,"Missing[""NotAvailable""]"
büro,office,"Missing[""NotAvailable""]"
vorsichtig,carefully,"{""guarded"", ""careful"", ""safe"", ""conservative"", ""cautious"", ""prudent"", ""wary"", ""chary"", ""circumspect"", ""watchful"", ""gingerly"", ""warily""}"
darf,may,"Missing[""NotAvailable""]"
zumindest,at least,"{""at least"", ""at any rate"", ""anyhow"", ""anyway"", ""a minimum of""}"
fuß,foot,"Missing[""NotAvailable""]"
fahren,drive,"{""go"", ""drive"", ""drive a car"", ""ride"", ""navigate"", ""sail""}"
egal,no matter,"Missing[""NotAvailable""]"
darum,therefore,"Missing[""NotAvailable""]"
schatten,shadow,"Missing[""NotAvailable""]"
befand,was,"Missing[""NotAvailable""]"
schrie,cried,"Missing[""NotAvailable""]"
buch,book,"Missing[""NotAvailable""]"
ruhe,Quiet,"Missing[""NotAvailable""]"
alt,old,"{""old"", ""aged"", ""stale"", ""ancient""}"
erzählen,tell,"{""tell"", ""narrate"", ""relate"", ""describe"", ""tell about"", ""recount""}"
geschehen,done,"{""happen"", ""occur"", ""happen to"", ""befall""}"
sechs,six,"{""six""}"
gefallen,like,"{""fallen"", ""dropped"", ""appeal to"", ""attract"", ""please"", ""make happy"", ""down""}"
steckte,put,"Missing[""NotAvailable""]"
stimmt,Right,"Missing[""NotAvailable""]"
riss,crack,"Missing[""NotAvailable""]"
suchen,search,"{""look for"", ""search for"", ""seek after"", ""seek for"", ""seek"", ""want""}"
kraft,force,"Missing[""NotAvailable""]"
denke,think,"Missing[""NotAvailable""]"
deinen,your,"Missing[""NotAvailable""]"
erinnern,recall,"{""remember"", ""recall"", ""recollect""}"
telefon,phone,"Missing[""NotAvailable""]"
sprang,leapt,"Missing[""NotAvailable""]"
brauchen,need,"{""need"", ""require"", ""need to"", ""have to""}"
hinunter,down,"{""downward""}"
wieso,how so,"Missing[""NotAvailable""]"
zuerst,first,"{""at first"", ""in the beginning"", ""for the first time"", ""first"", ""firstly""}"
besten,best,"Missing[""NotAvailable""]"
seufzte,sighed,"Missing[""NotAvailable""]"
kaffee,coffee,"Missing[""NotAvailable""]"
glaubte,thought,"Missing[""NotAvailable""]"
weißen,white,"Missing[""NotAvailable""]"
tasche,bag,"Missing[""NotAvailable""]"
wären,would,"Missing[""NotAvailable""]"
länger,longer,"Missing[""NotAvailable""]"
bekam,got,"Missing[""NotAvailable""]"
decke,blanket,"Missing[""NotAvailable""]"
guten,good,"Missing[""NotAvailable""]"
hinten,behind,"{""in the back"", ""in the rear"", ""aft"", ""abaft"", ""rearwards"", ""rearward"", ""to the rear""}"
waffe,weapon,"Missing[""NotAvailable""]"
eins,one,"{""one""}"
gerne,with pleasure,"{""gladly"", ""with pleasure""}"
deiner,yours,"{""yours""}"
treffen,to meet,"{""afflict"", ""gather"", ""join"", ""meet"", ""strike""}"
beugte,leaned,"Missing[""NotAvailable""]"
gesprochen,spoken,"{""spoken""}"
erkannte,recognized,"Missing[""NotAvailable""]"
erfahren,experience,"{""experienced"", ""practiced"", ""skilled"", ""feel"", ""experience"", ""find out"", ""discover"", ""learn"", ""smell out"", ""get wind of""}"
sinn,sense,"Missing[""NotAvailable""]"
kennen,know,"{""know"", ""be acquainted with""}"
schmerz,pain,"Missing[""NotAvailable""]"
stuhl,chair,"Missing[""NotAvailable""]"
sonne,Sun,"Missing[""NotAvailable""]"
gestern,yesterday,"{""yesterday""}"
bewegung,Move,"Missing[""NotAvailable""]"
hinein,in,"Missing[""NotAvailable""]"
posleen,Posleen,"Missing[""NotAvailable""]"
krieg,war,"Missing[""NotAvailable""]"
tagen,meet,"Missing[""NotAvailable""]"
geralt,geralt,"Missing[""NotAvailable""]"
woche,week,"Missing[""NotAvailable""]"
wind,wind,"Missing[""NotAvailable""]"
dunkelheit,Darkness,"Missing[""NotAvailable""]"
keller,"basement, cellar","Missing[""NotAvailable""]"
alter,older,"Missing[""NotAvailable""]"
armen,poor,"Missing[""NotAvailable""]"
wochen,weeks,"Missing[""NotAvailable""]"
teufel,devil,"Missing[""NotAvailable""]"
dagegen,on the other hand,"{""however""}"
offensichtlich,obviously,"{""logical"", ""obvious"", ""apparent"", ""seeming"", ""appearing"", ""axiomatic"", ""self-evident"", ""aphoristic"", ""conspicuous"", ""noticeable"", ""remarkable"", ""evident"", ""clear"", ""plain"", ""unmistakable"", ""palpable"", ""apparently"", ""obviously"", ""clearly"", ""evidently"", ""d"
auge,eye,"Missing[""NotAvailable""]"
spät,late,"{""late"", ""belated"", ""too late"", ""tardy""}"
mussten,had,"Missing[""NotAvailable""]"
william,william,"Missing[""NotAvailable""]"
irgendwann,Sometime,"{""sometime""}"
alex,Alex,"Missing[""NotAvailable""]"
mochte,would like to,"Missing[""NotAvailable""]"
nämlich,namely,"{""for"", ""since"", ""as"", ""namely"", ""that is"", ""specifically""}"
tages,day,"Missing[""NotAvailable""]"
idee,idea,"Missing[""NotAvailable""]"
julian,Julian,"Missing[""NotAvailable""]"
indem,while,"Missing[""NotAvailable""]"
sachen,stuff,"Missing[""NotAvailable""]"
offen,open,"{""open"", ""open-ended"", ""unobstructed"", ""unimpeded"", ""unhindered"", ""clear"", ""unrestricted"", ""vacant"", ""frank"", ""overt"", ""loose"", ""receivable"", ""honest"", ""aboveboard"", ""straightforward"", ""sincere"", ""candid"", ""on the up-and-up"", ""on the up and up"", ""upfront"""
haare,hair,"Missing[""NotAvailable""]"
überall,all over,"{""everywhere"", ""everyplace""}"
schlüssel,key,"Missing[""NotAvailable""]"
verschwunden,disappeared,"Missing[""NotAvailable""]"
schritte,steps,"Missing[""NotAvailable""]"
erklären,to explain,"{""clarify"", ""explain"", ""enlighten"", ""illuminate"", ""elucidate"", ""state"", ""show"", ""justify"", ""give a good reason for"", ""explain satisfactorily"", ""declare"", ""account for"", ""define"", ""specify"", ""make clear"", ""profess""}"
kleiner,smaller,"Missing[""NotAvailable""]"
ohren,ears,"Missing[""NotAvailable""]"
liegen,lie,"{""recline"", ""lie"", ""be located"", ""be situated""}"
sicherheit,safety,"Missing[""NotAvailable""]"
vorstellen,imagine,"{""advance"", ""bring forward"", ""conceive"", ""conceive of"", ""fancy"", ""fantasize"", ""imagine"", ""introduce"", ""picture"", ""present"", ""put forward"", ""see"", ""show"", ""think"", ""understand"", ""visualize""}"
strich,stroke,"Missing[""NotAvailable""]"
unterwegs,on road,"{""under way""}"
kleines,small,"Missing[""NotAvailable""]"
ernst,serious,"{""serious"", ""precarious"", ""distressing"", ""solemn"", ""grave"", ""acute"", ""critical"", ""deep"", ""earnest""}"
suchte,sought,"Missing[""NotAvailable""]"
sehe,see,"Missing[""NotAvailable""]"
soldaten,soldiers,"Missing[""NotAvailable""]"
dr.,dr.,"Missing[""NotAvailable""]"
statt,instead of,"{""instead of"", ""in place of""}"
arbeiten,work,"{""work"", ""labor""}"
opfer,Victim,"Missing[""NotAvailable""]"
versuchen,to attempt,"{""tempt"", ""attempt"", ""try"", ""seek"", ""endeavor""}"
gespräch,conversation,"Missing[""NotAvailable""]"
streckte,stretched,"Missing[""NotAvailable""]"
simon,Simon,"Missing[""NotAvailable""]"
leider,Unfortunately,"{""unfortunately"", ""unhappily"", ""regrettably"", ""regretfully""}"
erschien,appeared,"Missing[""NotAvailable""]"
begriff,term,"Missing[""NotAvailable""]"
rest,rest,"Missing[""NotAvailable""]"
stein,stone,"Missing[""NotAvailable""]"
hinzu,in addition,"Missing[""NotAvailable""]"
gefragt,asked,"Missing[""NotAvailable""]"
mac,mac,"Missing[""NotAvailable""]"
frei,free,"{""free"", ""leisured"", ""casual"", ""unobstructed"", ""unimpeded"", ""unhindered"", ""clear"", ""unrestricted"", ""vacant"", ""gratis"", ""gratuitous"", ""free of charge"", ""for nothing"", ""freely"", ""void of"", ""devoid"", ""destitute of"", ""without"", ""lacking""}"
schlecht,bad,"{""bad"", ""evil"", ""detrimental"", ""wrong"", ""ill"", ""damaging"", ""harming"", ""harmful"", ""deleterious"", ""injurious"", ""pernicious"", ""nauseous"", ""queasy"", ""sick"", ""sick to one's stomach"", ""badly"", ""poorly""}"
woher,from where,"{""where ... from"", ""from where""}"
freunde,friends,"Missing[""NotAvailable""]"
sahen,saw,"Missing[""NotAvailable""]"
mitten,in the middle,"Missing[""NotAvailable""]"
miene,expression,"Missing[""NotAvailable""]"
kirche,church,"Missing[""NotAvailable""]"
irgendetwas,anything,"Missing[""NotAvailable""]"
mußte,had to,"Missing[""NotAvailable""]"
ecke,corner,"Missing[""NotAvailable""]"
de,de,"Missing[""NotAvailable""]"
mich.,me.,"Missing[""NotAvailable""]"
jemanden,someone,"Missing[""NotAvailable""]"
mühe,effort,"Missing[""NotAvailable""]"
zweiten,second,"Missing[""NotAvailable""]"
beobachtete,watching,"Missing[""NotAvailable""]"
mach,mach,"Missing[""NotAvailable""]"
bert,bert,"Missing[""NotAvailable""]"
lagen,lay,"Missing[""NotAvailable""]"
ans,ans,"Missing[""NotAvailable""]"
dank,thanks,"{""thanks to"", ""because of""}"
freundin,girlfriend,"Missing[""NotAvailable""]"
voll,full,"{""unqualified"", ""full"", ""filled"", ""entire"", ""whole"", ""complete"", ""total"", ""integral""}"
mehrere,several,"{""different"", ""several"", ""a number of"", ""some""}"
mannes,man,"Missing[""NotAvailable""]"
luke,hatch,"Missing[""NotAvailable""]"
rasch,quickly,"{""ready"", ""prompt"", ""fast"", ""quick"", ""swiftly"", ""quickly"", ""apace"", ""soon""}"
zwanzig,twenty,"{""twenty""}"
peter,Peter,"Missing[""NotAvailable""]"
kalt,cold,"{""bleak"", ""raw"", ""cold"", ""indifferent"", ""unfeeling"", ""callous"", ""coldly""}"
überlegte,thought,"Missing[""NotAvailable""]"
raus,Out,"Missing[""NotAvailable""]"
knie,knee,"Missing[""NotAvailable""]"
lage,location,"Missing[""NotAvailable""]"
füße,feet,"Missing[""NotAvailable""]"
lehnte,rejected,"Missing[""NotAvailable""]"
gleichzeitig,simultaneously,"{""contemporaneous"", ""coexisting"", ""contemporary"", ""simultaneous"", ""all at once"", ""in one time"", ""in one go"", ""at the same time"", ""simultaneously""}"
robert,Robert,"Missing[""NotAvailable""]"
nächste,next,"{""nearest"", ""immediate"", ""proximate"", ""following"", ""next""}"
hund,dog,"Missing[""NotAvailable""]"
schweigen,silence,"{""remain silent"", ""keep quiet"", ""be silent"", ""be quiet""}"
dennoch,yet,"{""nevertheless"", ""nonetheless"", ""in spite of this"", ""in spite of that"", ""though"", ""still"", ""yet"", ""however"", ""despite"", ""notwithstanding"", ""in spite of"", ""regardless of"", ""albeit"", ""but""}"
ziehen,pull,"{""drag"", ""draw"", ""pull along"", ""tug"", ""pull"", ""trace"", ""puff"", ""puff away"", ""extract"", ""draw out"", ""pull out"", ""take out"", ""haul"", ""lug"", ""heave""}"
ben,ben,"Missing[""NotAvailable""]"
seiten,pages,"Missing[""NotAvailable""]"
